"","date","Avg.baby3"
"265",1969-09-22,NA
"266",1969-09-23,4
"267",1969-09-24,12
"268",1969-09-25,18
"269",1969-09-26,6
"270",1969-09-27,7
"271",1969-09-28,9
"272",1969-09-29,6
"273",1969-09-30,6
"274",1969-10-01,5
"275",1969-10-02,26
"276",1969-10-03,6
"277",1969-10-04,19
"278",1969-10-05,6
"279",1969-10-06,6
"280",1969-10-07,19
"281",1969-10-08,6
"282",1969-10-09,9
"283",1969-10-10,6
"284",1969-10-11,7
"285",1969-10-12,11
"286",1969-10-13,NA
"287",1969-10-14,5
"288",1969-10-15,10
"289",1969-10-16,20
"290",1969-10-17,11
"291",1969-10-18,13
"292",1969-10-19,14
"293",1969-10-20,9
"294",1969-10-21,6
"295",1969-10-22,17
"296",1969-10-23,14
"297",1969-10-24,51
"298",1969-10-25,NA
"299",1969-10-26,7
"300",1969-10-27,9
"301",1969-10-28,1
"302",1969-10-29,34
"303",1969-10-30,2
"304",1969-10-31,7
"305",1969-11-01,10
"306",1969-11-02,5
"307",1969-11-03,18
"308",1969-11-04,NA
"309",1969-11-05,8
"310",1969-11-06,6
"311",1969-11-07,2
"312",1969-11-08,4
"313",1969-11-09,8
"314",1969-11-10,19
"315",1969-11-11,6
"316",1969-11-12,9
"317",1969-11-13,10
"318",1969-11-14,7
"319",1969-11-15,6
"320",1969-11-16,6
"321",1969-11-17,19
"322",1969-11-18,17
"323",1969-11-19,5
"324",1969-11-20,10
"325",1969-11-21,9
"326",1969-11-22,30
"327",1969-11-23,7
"328",1969-11-24,6
"329",1969-11-25,10
"330",1969-11-26,NA
"331",1969-11-27,13
"332",1969-11-28,4
"333",1969-11-29,6
"334",1969-11-30,6
"335",1969-12-01,10
"336",1969-12-02,6
"337",1969-12-03,13
"338",1969-12-04,5
"339",1969-12-05,9
"340",1969-12-06,2
"341",1969-12-07,23
"342",1969-12-08,8
"343",1969-12-09,2
"344",1969-12-10,15
"345",1969-12-11,18
"346",1969-12-12,8
"347",1969-12-13,7
"348",1969-12-14,9
"349",1969-12-15,23
"350",1969-12-16,5
"351",1969-12-17,5
"352",1969-12-18,10
"353",1969-12-19,NA
"354",1969-12-20,22
"355",1969-12-21,4
"356",1969-12-22,8
"357",1969-12-23,4
"358",1969-12-24,17
"359",1969-12-25,4
"360",1969-12-26,14
"361",1969-12-27,12
"362",1969-12-28,8
"363",1969-12-29,17
"364",1969-12-30,11
"365",1969-12-31,7
"366",1970-01-01,9
"367",1970-01-02,9
"368",1970-01-03,23
"369",1970-01-04,4
"370",1970-01-05,6
"371",1970-01-06,9
"372",1970-01-07,9
"373",1970-01-08,NA
"374",1970-01-09,6
"375",1970-01-10,9
"376",1970-01-11,10
"377",1970-01-12,4
"378",1970-01-13,2
"379",1970-01-14,6
"380",1970-01-15,7
"381",1970-01-16,21
"382",1970-01-17,9
"383",1970-01-18,12
"384",1970-01-19,13
"385",1970-01-20,9
"386",1970-01-21,11
"387",1970-01-22,14
"388",1970-01-23,19
"389",1970-01-24,17
"390",1970-01-25,10
"391",1970-01-26,3
"392",1970-01-27,10
"393",1970-01-28,15
"394",1970-01-29,6
"395",1970-01-30,4
"396",1970-01-31,11
"397",1970-02-01,31
"398",1970-02-02,20
"399",1970-02-03,16
"400",1970-02-04,6
"401",1970-02-05,12
"402",1970-02-06,6
"403",1970-02-07,4
"404",1970-02-08,9
"405",1970-02-09,6
"406",1970-02-10,10
"407",1970-02-11,14
"408",1970-02-12,9
"409",1970-02-13,5
"410",1970-02-14,5
"411",1970-02-15,19
"412",1970-02-16,5
"413",1970-02-17,8
"414",1970-02-18,18
"415",1970-02-19,6
"416",1970-02-20,2
"417",1970-02-21,5
"418",1970-02-22,4
"419",1970-02-23,5
"420",1970-02-24,6
"421",1970-02-25,9
"422",1970-02-26,NA
"423",1970-02-27,NA
"424",1970-02-28,14
"425",1970-03-01,20
"426",1970-03-02,12
"427",1970-03-03,9
"428",1970-03-04,7
"429",1970-03-05,4
"430",1970-03-06,19
"431",1970-03-07,17
"432",1970-03-08,8
"433",1970-03-09,NA
"434",1970-03-10,2
"435",1970-03-11,8
"436",1970-03-12,5
"437",1970-03-13,13
"438",1970-03-14,NA
"439",1970-03-15,14
"440",1970-03-16,NA
"441",1970-03-17,4
"442",1970-03-18,NA
"443",1970-03-19,8
"444",1970-03-20,2
"445",1970-03-21,6
"446",1970-03-22,7
"447",1970-03-23,6
"448",1970-03-24,7
"449",1970-03-25,6
"450",1970-03-26,4
"451",1970-03-27,4
"452",1970-03-28,14
"453",1970-03-29,4
"454",1970-03-30,9
"455",1970-03-31,4
"456",1970-04-01,2
"457",1970-04-02,4
"458",1970-04-03,4
"459",1970-04-04,14
"460",1970-04-05,8
"461",1970-04-06,6
"462",1970-04-07,5
"463",1970-04-08,NA
"464",1970-04-09,NA
"465",1970-04-10,12
"466",1970-04-11,6
"467",1970-04-12,3
"468",1970-04-13,5
"469",1970-04-14,8
"470",1970-04-15,6
"471",1970-04-16,15
"472",1970-04-17,7
"473",1970-04-18,14
"474",1970-04-19,6
"475",1970-04-20,9
"476",1970-04-21,8
"477",1970-04-22,7
"478",1970-04-23,4
"479",1970-04-24,13
"480",1970-04-25,7
"481",1970-04-26,24
"482",1970-04-27,9
"483",1970-04-28,7
"484",1970-04-29,15
"485",1970-04-30,6
"486",1970-05-01,NA
"487",1970-05-02,18
"488",1970-05-03,1
"489",1970-05-04,9
"490",1970-05-05,5
"491",1970-05-06,11
"492",1970-05-07,3
"493",1970-05-08,6
"494",1970-05-09,5
"495",1970-05-10,4
"496",1970-05-11,NA
"497",1970-05-12,4
"498",1970-05-13,10
"499",1970-05-14,12
"500",1970-05-15,19
"501",1970-05-16,4
"502",1970-05-17,NA
"503",1970-05-18,15
"504",1970-05-19,28
"505",1970-05-20,19
"506",1970-05-21,18
"507",1970-05-22,7
"508",1970-05-23,10
"509",1970-05-24,10
"510",1970-05-25,3
"511",1970-05-26,13
"512",1970-05-27,9
"513",1970-05-28,19
"514",1970-05-29,3
"515",1970-05-30,12
"516",1970-05-31,5
"517",1970-06-01,5
"518",1970-06-02,7
"519",1970-06-03,11
"520",1970-06-04,NA
"521",1970-06-05,5
"522",1970-06-06,14
"523",1970-06-07,NA
"524",1970-06-08,8
"525",1970-06-09,7
"526",1970-06-10,11
"527",1970-06-11,10
"528",1970-06-12,5
"529",1970-06-13,19
"530",1970-06-14,12
"531",1970-06-15,11
"532",1970-06-16,20
"533",1970-06-17,12
"534",1970-06-18,5
"535",1970-06-19,18
"536",1970-06-20,8
"537",1970-06-21,7
"538",1970-06-22,10
"539",1970-06-23,9
"540",1970-06-24,14
"541",1970-06-25,6
"542",1970-06-26,7
"543",1970-06-27,21
"544",1970-06-28,11
"545",1970-06-29,NA
"546",1970-06-30,17
"547",1970-07-01,18
"548",1970-07-02,4
"549",1970-07-03,6
"550",1970-07-04,14
"551",1970-07-05,6
"552",1970-07-06,9
"553",1970-07-07,NA
"554",1970-07-08,13
"555",1970-07-09,6
"556",1970-07-10,9
"557",1970-07-11,8
"558",1970-07-12,3
"559",1970-07-13,12
"560",1970-07-14,16
"561",1970-07-15,5
"562",1970-07-16,NA
"563",1970-07-17,12
"564",1970-07-18,9
"565",1970-07-19,10
"566",1970-07-20,16
"567",1970-07-21,8
"568",1970-07-22,13
"569",1970-07-23,4
"570",1970-07-24,15
"571",1970-07-25,10
"572",1970-07-26,3
"573",1970-07-27,NA
"574",1970-07-28,24
"575",1970-07-29,18
"576",1970-07-30,17
"577",1970-07-31,11
"578",1970-08-01,8
"579",1970-08-02,7
"580",1970-08-03,12
"581",1970-08-04,10
"582",1970-08-05,9
"583",1970-08-06,NA
"584",1970-08-07,NA
"585",1970-08-08,23
"586",1970-08-09,3
"587",1970-08-10,5
"588",1970-08-11,9
"589",1970-08-12,NA
"590",1970-08-13,10
"591",1970-08-14,NA
"592",1970-08-15,8
"593",1970-08-16,14
"594",1970-08-17,16
"595",1970-08-18,9
"596",1970-08-19,2
"597",1970-08-20,12
"598",1970-08-21,13
"599",1970-08-22,13
"600",1970-08-23,9
"601",1970-08-24,12
"602",1970-08-25,13
"603",1970-08-26,NA
"604",1970-08-27,13
"605",1970-08-28,11
"606",1970-08-29,1
"607",1970-08-30,23
"608",1970-08-31,10
"609",1970-09-01,7
"610",1970-09-02,5
"611",1970-09-03,8
"612",1970-09-04,11
"613",1970-09-05,9
"614",1970-09-06,5
"615",1970-09-07,NA
"616",1970-09-08,15
"617",1970-09-09,7
"618",1970-09-10,4
"619",1970-09-11,11
"620",1970-09-12,8
"621",1970-09-13,13
"622",1970-09-14,25
"623",1970-09-15,13
"624",1970-09-16,7
"625",1970-09-17,16
"626",1970-09-18,5
"627",1970-09-19,9
"628",1970-09-20,3
"629",1970-09-21,20
"630",1970-09-22,NA
"631",1970-09-23,14
"632",1970-09-24,15
"633",1970-09-25,18
"634",1970-09-26,NA
"635",1970-09-27,11
"636",1970-09-28,9
"637",1970-09-29,16
"638",1970-09-30,5
"639",1970-10-01,NA
"640",1970-10-02,11
"641",1970-10-03,13
"642",1970-10-04,NA
"643",1970-10-05,7
"644",1970-10-06,7
"645",1970-10-07,2
"646",1970-10-08,7
"647",1970-10-09,10
"648",1970-10-10,15
"649",1970-10-11,9
"650",1970-10-12,4
"651",1970-10-13,NA
"652",1970-10-14,27
"653",1970-10-15,10
"654",1970-10-16,11
"655",1970-10-17,9
"656",1970-10-18,6
"657",1970-10-19,8
"658",1970-10-20,5
"659",1970-10-21,NA
"660",1970-10-22,3
"661",1970-10-24,15
"662",1970-10-25,7
"663",1970-10-26,3
"664",1970-10-27,18
"665",1970-10-28,9
"666",1970-10-29,12
"667",1970-10-30,NA
"668",1970-10-31,7
"669",1970-11-01,18
"670",1970-11-02,13
"671",1970-11-03,4
"672",1970-11-04,14
"673",1970-11-05,9
"674",1970-11-06,7
"675",1970-11-07,9
"676",1970-11-08,6
"677",1970-11-09,9
"678",1970-11-10,9
"679",1970-11-11,NA
"680",1970-11-12,6
"681",1970-11-13,11
"682",1970-11-14,10
"683",1970-11-15,7
"684",1970-11-16,7
"685",1970-11-17,6
"686",1970-11-18,11
"687",1970-11-19,5
"688",1970-11-20,5
"689",1970-11-21,NA
"690",1970-11-22,14
"691",1970-11-23,NA
"692",1970-11-24,5
"693",1970-11-25,20
"694",1970-11-26,6
"695",1970-11-27,4
"696",1970-11-28,8
"697",1970-11-29,4
"698",1970-11-30,4
"699",1970-12-01,13
"700",1970-12-02,10
"701",1970-12-03,6
"702",1970-12-04,4
"703",1970-12-05,7
"704",1970-12-06,12
"705",1970-12-07,14
"706",1970-12-08,29
"707",1970-12-09,7
"708",1970-12-10,5
"709",1970-12-11,3
"710",1970-12-12,19
"711",1970-12-13,7
"712",1970-12-14,5
"713",1970-12-15,23
"714",1970-12-16,5
"715",1970-12-17,12
"716",1970-12-18,9
"717",1970-12-19,9
"718",1970-12-20,NA
"719",1970-12-21,14
"720",1970-12-22,8
"721",1970-12-23,11
"722",1970-12-24,8
"723",1970-12-25,10
"724",1970-12-26,10
"725",1970-12-27,18
"726",1970-12-28,9
"727",1970-12-29,5
"728",1970-12-30,7
"729",1970-12-31,7
"730",1971-01-01,8
"731",1971-01-02,13
"732",1971-01-03,7
"733",1971-01-04,5
"734",1971-01-05,5
"735",1971-01-06,10
"736",1971-01-07,7
"737",1971-01-08,3
"738",1971-01-09,10
"739",1971-01-10,4
"740",1971-01-11,21
"741",1971-01-12,NA
"742",1971-01-13,6
"743",1971-01-14,8
"744",1971-01-15,3
"745",1971-01-16,5
"746",1971-01-17,9
"747",1971-01-18,6
"748",1971-01-19,5
"749",1971-01-20,8
"750",1971-01-21,7
"751",1971-01-22,7
"752",1971-01-23,6
"753",1971-01-24,4
"754",1971-01-25,11
"755",1971-01-26,NA
"756",1971-01-27,8
"757",1971-01-28,10
"758",1971-01-29,3
"759",1971-01-30,6
"760",1971-01-31,6
"761",1971-02-01,7
"762",1971-02-02,14
"763",1971-02-03,16
"764",1971-02-04,5
"765",1971-02-05,15
